date,tree,measurement,k,q
2021-06-29,BK08,M03,-0.096530870725355,4.227369335552275
2021-06-29,BK08,M04,-0.1062491067852994,7.663872430063127
2021-06-29,BK09,M02,-0.0789143866091136,3.762594213931903
2021-06-29,BK09,M03,-0.1043973123039561,7.065205880700508
2021-06-29,BK09,M04,-0.0671896942148903,5.067545098332452
2021-06-29,BK10,M04,-0.0729231097517469,3.6753687375762953
2021-06-29,BK10,M02,-0.0855203602685242,3.912158959497987
2021-06-29,BK10,M03,-0.1409309866004793,7.3363329013306195
2021-06-29,BK11,M02,-0.0692610690009693,5.597888481303238
2021-06-29,BK11,M04,-0.0666964963165485,6.496171441579207
2021-06-29,BK11,M05,-0.0391103212465984,3.530886342189472
2021-06-29,BK12,M02,-0.0772606090184829,4.102290468712827
2021-06-29,BK12,M04,-0.0793076811893039,4.549491305117916
2021-06-29,BK12,M05,-0.084450571731121,6.10770062642582
2021-06-29,BK12,M06,-0.0611610383017819,2.9248153443868894
2021-06-29,BK13,M02,-0.1101630857271068,11.97773913095048
2021-06-29,BK13,M03,-0.0831272587281479,9.076006059528536
2021-06-29,BK13,M05,-0.1033149226733637,11.627323471876082
2021-06-29,BK14,M02,-0.0776758743824782,7.386769875283637
2021-06-29,BK14,M04,-0.0758829757491766,5.893504542452068
2021-06-29,BK14,M05,-0.0598815304947451,5.133328034999823
2021-06-29,BK14,M06,-0.0169689896488305,2.37590036326082
2021-06-29,BK16,M02,-0.08349375076197,5.731531477702408
2021-06-29,BK16,M03,-0.101555358502058,4.27867433627256
2021-06-29,BK16,M04,-0.0616335101606146,3.908925725312553
2021-06-29,BK21,M02,-0.1368165758444363,13.81374258119605
2021-06-29,BK21,M03,-0.074803485201259,7.082151457894192
2021-06-29,BK21,M04,-0.0728882811789368,9.509050035942089
2021-06-29,BK21,M05,-0.0634026721436103,8.518769633223322
2021-06-29,BK24,M02,-0.0768972799625556,9.751798973080474
2021-06-29,BK24,M03,-0.0627357696488904,7.814945035585829
2021-06-29,BK24,M04,-0.0699611676385182,10.9703650810703
2022-04-05,BK01,M04,-0.0390204873754325,4.370394237882566
2022-04-05,BK01,M03,-0.1012242154476559,8.822956905776639
2022-04-05,BK01,M02,-0.0740796511947015,8.714432944942674
2022-04-05,BK04,M02,-0.0768284389516295,9.52378209370045
2022-04-05,BK04,M03,-0.0512066479660565,5.675419424433131
2022-04-05,BK04,M04,-0.0320380624855795,3.913651536953417
2022-04-05,BK07,M04,-0.0453036743341459,5.294087590672464
2022-04-05,BK07,M02,-0.0610814344874854,11.725369420866915
2022-04-05,BK07,M03,-0.061654247316421,5.347713339488974
2022-04-05,BK08,M04,-0.0806820397522165,5.714364250087849
2022-04-05,BK08,M03,-0.0858802023353072,6.332699588425516
2022-04-05,BK08,M02,-0.077841620096105,5.313035298719264
2022-04-05,BK09,M02,-0.1148153153100369,9.068305637072642
2022-04-05,BK09,M03,-0.0510918984559465,3.186671726979319
2022-04-05,BK09,M04,-0.0429649174225725,3.109671895988361
2022-04-05,BK10,M04,-0.0576417406632878,4.8526298178256
2022-04-05,BK10,M02,-0.0909680562025608,5.4788653564299485
2022-04-05,BK10,M03,-0.1267487857682663,8.064436069525192
2022-04-05,BK11,M03,-0.0760708572328461,5.895119787990976
2022-04-05,BK11,M02,-0.0476527737705697,4.746965332568063
2022-04-05,BK11,M04,-0.0412374772107984,3.75784184388841
2022-04-05,BK12,M04,-0.0373400476075668,2.682762196983337
2022-04-05,BK13,M03,-0.0929183071651989,9.99577657542756
2022-04-05,BK13,M02,-0.0610448039639807,9.23491199723743
2022-04-05,BK13,M04,-0.0901842607498404,8.413872050768772
2022-04-05,BK14,M03,-0.0410888731075811,2.411341069250442
2022-04-05,BK14,M04,-0.0483140215826771,3.877505083253893
2022-04-05,BK14,M05,-0.0517677075462852,5.216817287634376
2022-04-05,BK16,M03,-0.0715316662227567,5.291106956387663
2022-04-05,BK16,M04,-0.055577181972492,3.556773194485691
2022-04-05,BK21,M04,-0.0872914379842613,10.54347247247949
2022-04-05,BK21,M02,-0.0705048207193085,9.480893489969723
2022-04-05,BK24,M02,-0.0465606150907534,5.057610361764495
2022-04-05,BK24,M03,-0.0518573496711156,5.35879904871765
2022-04-05,BK24,M04,-0.0444696668943753,2.9181648850033315
2022-08-16,BK01,M02,-0.0972637153676187,11.187122822124056
2022-08-16,BK01,M03,-0.124014432760095,15.33127503690379
2022-08-16,BK01,M04,-0.1043746755335398,14.983519939395435
2022-08-16,BK04,M04,-0.0750728335032779,7.123611344719385
2022-08-16,BK04,M03,-0.0665067474958605,8.519364210762223
2022-08-16,BK04,M02,-0.1007173803402803,11.861034658738827
2022-08-16,BK07,M02,-0.056489943243705,9.91023184690725
2022-08-16,BK07,M03,-0.0878727169752995,9.442158260133413
2022-08-16,BK07,M04,-0.0653102354704515,7.583182294929733
2022-08-16,BK07,M05,-0.1066180369185594,14.448865033191309
2022-08-16,BK08,M02,-0.0775362543096776,9.076502955521049
2022-08-16,BK08,M03,-0.0880579686452766,7.645361211170239
2022-08-16,BK08,M04,-0.0610575967551256,5.377271611032063
2022-08-16,BK09,M04,-0.0937008106257176,7.58292223995419
2022-08-16,BK09,M03,-0.0796296654198438,8.160804577398089
2022-08-16,BK09,M02,-0.0896119091792372,7.977195036330982
2022-08-16,BK10,M02,-0.0544790735961905,3.8633568203080695
2022-08-16,BK10,M03,-0.0493031907957214,4.058580648396182
2022-08-16,BK10,M04,-0.0543707839735042,4.548907104676786
2022-08-16,BK11,M04,-0.0575343371022289,6.287368930746544
2022-08-16,BK11,M02,-0.0518881711096833,7.141310194075804
2022-08-16,BK11,M03,-0.0498641057823276,6.793034007680589
2022-08-16,BK12,M04,-0.0431496861456469,3.2424084977566805
2022-08-16,BK12,M02,-0.0380673723458482,2.9472477631323644
2022-08-16,BK12,M03,-0.0396550744848191,4.018747924819877
2022-08-16,BK13,M03,-0.0941496478937414,10.809474205173755
2022-08-16,BK13,M04,-0.0753432383302492,11.561475530303005
2022-08-16,BK14,M04,-0.1041230415001003,11.075725257809191
2022-08-16,BK14,M03,-0.1046691835778508,11.72128923974154
2022-08-16,BK14,M02,-0.101902971990405,12.27843602353168
2022-08-16,BK16,M02,-0.0921184046416194,5.771110367879949
2022-08-16,BK16,M03,-0.0781022477054688,6.116553208518569
2022-08-16,BK16,M04,-0.0724939005134601,5.328355419766102
2022-08-16,BK21,M04,-0.0766740057390983,8.178110376260555
2022-08-16,BK21,M02,-0.0899784432439823,15.169849500866578
2022-08-16,BK21,M03,-0.0804430938245716,8.827856102483368
2022-08-16,BK24,M03,-0.085184179687479,11.409869385166036
2022-08-16,BK24,M02,-0.0938782579631152,9.516015780296064
2022-08-16,BK24,M04,-0.12449090144174499,16.486339858063847
2021-03-22,BK12,M03,0.0227124705221034,0.3358782519973413
